content_key,content_id,title,genre,sub_genre,release_year,language,content_type,imdb_rating,duration_minutes,age_rating,country_of_origin,is_original,total_seasons
1,CNT00001,Title_1,Romance,Music,2012,English,Series,5.3,144,PG,Germany,False,5.0
2,CNT00002,Title_2,Comedy,Biography,2017,English,Movie,6.1,150,R,France,True,
3,CNT00003,Title_3,Romance,Mystery,2007,French,Movie,5.2,153,PG-13,USA,False,
4,CNT00004,Title_4,Romance,War,2020,English,Movie,4.4,44,PG-13,France,False,
5,CNT00005,Title_5,Comedy,War,2014,Spanish,Series,7.3,160,PG-13,South Korea,False,7.0
6,CNT00006,Title_6,Romance,Sport,2000,English,Movie,7.7,136,PG,France,True,
7,CNT00007,Title_7,Drama,Family,2002,English,Documentary,7.4,155,PG-13,Japan,True,
8,CNT00008,Title_8,Horror,War,2007,Hindi,Series,6.5,168,PG,Japan,False,4.0
9,CNT00009,Title_9,Action,War,2003,Spanish,Movie,6.1,44,PG,Japan,False,
10,CNT00010,Title_10,Documentary,Biography,2015,Portuguese,Movie,8.7,98,R,France,True,
11,CNT00011,Title_11,Drama,Crime,2022,English,Documentary,6.9,87,PG-13,Japan,False,
12,CNT00012,Title_12,Drama,Mystery,2009,French,Series,6.6,31,PG-13,Japan,False,2.0
13,CNT00013,Title_13,Action,Sport,2011,German,Series,4.1,51,PG,UK,True,3.0
14,CNT00014,Title_14,Drama,Sport,2013,Hindi,Movie,5.9,147,G,UK,False,
15,CNT00015,Title_15,Drama,Family,2013,French,Movie,6.1,115,PG-13,South Korea,True,
16,CNT00016,Title_16,Comedy,Sport,2001,English,Movie,6.2,111,PG-13,USA,False,
17,CNT00017,Title_17,Sci-Fi,Music,2022,Portuguese,Series,7.2,160,G,Germany,False,3.0
18,CNT00018,Title_18,Drama,Sport,2004,Spanish,Documentary,6.9,50,R,France,True,
19,CNT00019,Title_19,Documentary,War,2004,Spanish,Documentary,7.3,97,PG-13,France,False,
20,CNT00020,Title_20,Comedy,Fantasy,2005,English,Series,8.2,39,PG,France,False,5.0
21,CNT00021,Title_21,Action,Crime,2012,English,Series,8.5,165,PG-13,India,False,2.0
22,CNT00022,Title_22,Sci-Fi,Fantasy,2008,Spanish,Movie,7.9,79,PG,South Korea,False,
23,CNT00023,Title_23,Drama,Family,2021,Spanish,Series,9.3,153,PG-13,UK,False,8.0
24,CNT00024,Title_24,Animation,Mystery,2014,Portuguese,Movie,4.1,179,R,Japan,True,
25,CNT00025,Title_25,Comedy,Sport,2013,English,Series,5.1,112,R,South Korea,True,8.0
26,CNT00026,Title_26,Action,War,2023,French,Series,4.0,62,R,France,True,5.0
27,CNT00027,Title_27,Documentary,Fantasy,2006,German,Movie,7.6,149,PG-13,South Korea,False,
28,CNT00028,Title_28,Animation,War,2019,English,Documentary,8.9,79,PG-13,USA,False,
29,CNT00029,Title_29,Horror,Biography,2001,English,Series,5.3,170,PG-13,UK,False,8.0
30,CNT00030,Title_30,Documentary,Sport,2006,Spanish,Series,9.1,50,G,South Korea,True,4.0
31,CNT00031,Title_31,Drama,Family,2005,Spanish,Movie,4.3,24,PG-13,India,False,
32,CNT00032,Title_32,Action,Crime,2016,English,Movie,9.1,29,PG,South Korea,False,
33,CNT00033,Title_33,Sci-Fi,Mystery,2001,English,Series,5.9,108,R,UK,False,6.0
34,CNT00034,Title_34,Documentary,Biography,2002,Hindi,Movie,4.6,149,R,France,False,
35,CNT00035,Title_35,Action,Fantasy,2004,English,Documentary,6.7,145,PG-13,UK,True,
