user_key,user_id,age,gender,country,city,signup_date,acquisition_channel,user_segment,preferred_language,email_opt_in,lifetime_value_usd
1,USR00001,56,Female,Germany,Berlin,2022-09-25,Referral,New User,English,True,424.27
2,USR00002,46,Male,USA,Chicago,2021-05-15,Social Media,Casual Viewer,English,True,358.2
3,USR00003,32,Male,Canada,Vancouver,2022-09-04,Email Campaign,Power User,Hindi,False,326.6
4,USR00004,60,Female,UK,Birmingham,2022-01-21,Referral,Casual Viewer,English,True,452.12
5,USR00005,25,Male,Germany,Hamburg,2021-06-07,Organic,At-Risk User,German,False,132.64
6,USR00006,38,Female,Germany,Munich,2021-06-16,Email Campaign,Casual Viewer,Hindi,False,153.72
7,USR00007,56,Male,Brazil,São Paulo,2021-07-05,Social Media,Power User,English,True,690.81
8,USR00008,36,Male,USA,Los Angeles,2022-10-02,Referral,New User,Hindi,True,757.43
9,USR00009,40,Male,Australia,Melbourne,2021-06-19,Social Media,At-Risk User,English,True,304.91
10,USR00010,28,Male,USA,New York,2022-03-25,Email Campaign,Power User,English,True,223.89
11,USR00011,28,Male,UK,London,2021-02-14,Referral,Casual Viewer,French,True,518.76
12,USR00012,41,Male,India,Delhi,2022-02-25,Organic,At-Risk User,Spanish,True,332.9
13,USR00013,53,Female,USA,New York,2022-01-09,Paid Ad,New User,English,True,30.06
14,USR00014,57,Male,UK,Birmingham,2022-11-24,Paid Ad,Casual Viewer,English,True,133.36
15,USR00015,41,Female,Germany,Berlin,2021-09-01,Organic,Power User,English,False,575.62
16,USR00016,20,Female,India,Bangalore,2022-03-31,Organic,Casual Viewer,English,True,530.55
17,USR00017,39,Male,UK,Birmingham,2022-09-18,Social Media,Power User,Spanish,False,31.41
18,USR00018,19,Male,India,Bangalore,2021-10-19,Paid Ad,At-Risk User,English,True,185.36
19,USR00019,41,Male,France,Paris,2022-04-05,Paid Ad,Casual Viewer,English,True,192.55
20,USR00020,61,Female,USA,New York,2021-08-28,Referral,Power User,English,True,540.8
21,USR00021,47,Non-Binary,France,Lyon,2022-07-01,Paid Ad,New User,Spanish,True,25.57
22,USR00022,55,Male,Germany,Berlin,2021-09-02,Social Media,Casual Viewer,French,False,92.25
23,USR00023,19,Female,Canada,Toronto,2021-11-13,Referral,At-Risk User,English,False,641.93
24,USR00024,38,Female,UK,Birmingham,2022-04-26,Organic,Casual Viewer,Spanish,False,151.05
25,USR00025,50,Female,Brazil,São Paulo,2021-07-18,Email Campaign,Casual Viewer,English,True,525.67
26,USR00026,29,Female,Canada,Toronto,2022-01-12,Referral,At-Risk User,German,True,198.16
27,USR00027,39,Female,USA,Chicago,2022-11-26,Social Media,Casual Viewer,English,False,88.56
28,USR00028,61,Male,USA,New York,2022-08-08,Social Media,Power User,English,False,202.11
29,USR00029,42,Male,France,Marseille,2022-03-28,Email Campaign,Power User,English,False,580.59
30,USR00030,44,Male,India,Mumbai,2022-04-18,Paid Ad,New User,English,True,686.0
31,USR00031,59,Male,France,Paris,2021-10-16,Referral,Power User,Portuguese,True,665.87
32,USR00032,45,Female,Germany,Munich,2022-01-27,Social Media,Power User,German,False,323.77
33,USR00033,33,Female,India,Mumbai,2022-05-30,Email Campaign,Power User,Spanish,True,537.79
34,USR00034,32,Male,Brazil,Brasília,2022-06-25,Social Media,New User,German,False,171.94
35,USR00035,64,Female,Australia,Sydney,2022-03-05,Referral,New User,French,False,241.59
36,USR00036,61,Female,India,Delhi,2021-06-15,Email Campaign,Power User,English,True,718.11
37,USR00037,20,Male,France,Paris,2021-07-24,Paid Ad,Power User,English,False,20.27
38,USR00038,54,Female,India,Mumbai,2022-09-12,Referral,Power User,English,False,77.55
39,USR00039,24,Female,France,Marseille,2021-05-22,Referral,Casual Viewer,French,True,174.23
40,USR00040,38,Male,India,Delhi,2021-09-14,Referral,New User,English,False,30.96
41,USR00041,26,Female,Germany,Berlin,2021-02-23,Organic,New User,English,True,153.33
