activity_key,user_key,date_key,content_key,device_key,subscription_key,minutes_watched,session_duration_mins,completion_rate,pause_count,buffering_events,stream_quality,subtitle_used,audio_language,login_count,added_to_watchlist,shared_content,content_rated,user_rating,search_performed,search_query_count,feedback_given,recommendation_shown,recommendation_clicked,recommendation_converted,recommendation_algorithm,recommendation_position,time_to_click_seconds,relevance_score,subscription_event_type,payment_amount_usd,payment_method,is_trial,cancellation_reason,auto_renewal_enabled,revenue_attributed_usd,notification_sent,notification_clicked,error_encountered,error_type,ab_test_group,platform_version
1,330,235,101,3,2,66.63,79.05,0.56,8,3,480p,False,English,6,False,False,False,,True,4,Thumbs Down,True,False,False,Trending,8,,0.416,None,0.0,Credit Card,False,,True,0.78,False,False,False,,Control,v4.0
2,98,98,128,4,3,26.62,24.97,0.82,0,2,1080p,False,English,6,True,False,False,,False,0,,True,False,False,Collaborative Filtering,15,,0.719,None,0.0,Credit Card,False,,False,1.55,True,False,False,,Control,v3.1
3,144,276,155,4,1,23.35,26.16,0.35,2,2,720p,False,English,7,False,False,False,,False,0,,True,False,False,Content-Based,18,,0.601,Upgrade,0.0,Credit Card,False,,True,2.26,True,False,False,,Variant_B,v3.2
4,368,203,196,1,3,119.69,120.5,0.98,8,3,1080p,True,Original,6,False,False,True,3.1,False,0,,True,True,False,Collaborative Filtering,13,37.6,0.608,None,0.0,Credit Card,False,,False,0.71,False,False,False,,Variant_B,v3.3
5,435,132,105,2,2,52.49,60.76,0.66,4,4,4K,True,English,4,False,False,False,,True,4,,True,True,False,Content-Based,16,78.7,0.549,Renewal,7.99,Debit Card,False,,True,1.89,False,False,False,,Control,v3.2
6,125,340,83,3,3,42.73,38.73,0.54,4,2,4K,True,French,4,False,False,False,,False,0,Thumbs Up,True,False,False,Content-Based,13,,0.481,None,0.0,Debit Card,False,,True,1.62,True,False,False,,Variant_B,v4.0
7,167,47,7,4,2,10.81,10.33,0.85,1,1,720p,True,Original,3,False,False,False,,False,0,,True,False,False,Collaborative Filtering,4,,0.421,Cancellation,13.99,Debit Card,False,Content,True,0.53,False,False,False,,Variant_A,v3.3
8,86,74,135,3,2,292.72,353.6,0.63,6,2,720p,False,Original,2,False,False,False,,False,0,,True,False,False,Content-Based,11,,0.993,Downgrade,13.99,Debit Card,False,,True,1.86,True,False,False,,Control,v3.3
9,76,40,34,1,2,71.97,90.98,0.4,1,4,480p,False,English,1,False,False,False,,False,0,,True,False,False,Collaborative Filtering,19,,0.796,None,0.0,Debit Card,False,,True,0.25,False,False,False,,Variant_A,v3.1
10,344,9,21,3,1,19.5,22.92,0.48,6,0,1080p,False,German,5,False,False,False,,False,0,Thumbs Up,True,True,True,Trending,8,78.9,0.866,None,0.0,Credit Card,False,,False,1.35,False,False,False,,Control,v3.3
11,495,283,62,1,1,145.32,139.64,0.6,3,2,1080p,True,Spanish,3,False,False,False,,False,0,,True,False,False,Content-Based,10,,0.439,None,0.0,Credit Card,False,,True,0.39,False,False,False,,Variant_B,v3.2
