date_key,full_date,day,month,month_name,quarter,year,day_of_week,week_number,weekend_flag,is_holiday
1,2023-01-01,1,1,January,1,2023,Sunday,52,True,False
2,2023-01-02,2,1,January,1,2023,Monday,1,False,False
3,2023-01-03,3,1,January,1,2023,Tuesday,1,False,False
4,2023-01-04,4,1,January,1,2023,Wednesday,1,False,False
5,2023-01-05,5,1,January,1,2023,Thursday,1,False,False
6,2023-01-06,6,1,January,1,2023,Friday,1,False,False
7,2023-01-07,7,1,January,1,2023,Saturday,1,True,False
8,2023-01-08,8,1,January,1,2023,Sunday,1,True,False
9,2023-01-09,9,1,January,1,2023,Monday,2,False,False
10,2023-01-10,10,1,January,1,2023,Tuesday,2,False,False
11,2023-01-11,11,1,January,1,2023,Wednesday,2,False,False
12,2023-01-12,12,1,January,1,2023,Thursday,2,False,False
13,2023-01-13,13,1,January,1,2023,Friday,2,False,False
14,2023-01-14,14,1,January,1,2023,Saturday,2,True,False
15,2023-01-15,15,1,January,1,2023,Sunday,2,True,False
16,2023-01-16,16,1,January,1,2023,Monday,3,False,False
17,2023-01-17,17,1,January,1,2023,Tuesday,3,False,False
18,2023-01-18,18,1,January,1,2023,Wednesday,3,False,False
19,2023-01-19,19,1,January,1,2023,Thursday,3,False,False
20,2023-01-20,20,1,January,1,2023,Friday,3,False,False
21,2023-01-21,21,1,January,1,2023,Saturday,3,True,False
22,2023-01-22,22,1,January,1,2023,Sunday,3,True,False
23,2023-01-23,23,1,January,1,2023,Monday,4,False,False
24,2023-01-24,24,1,January,1,2023,Tuesday,4,False,False
25,2023-01-25,25,1,January,1,2023,Wednesday,4,False,False
26,2023-01-26,26,1,January,1,2023,Thursday,4,False,False
27,2023-01-27,27,1,January,1,2023,Friday,4,False,False
28,2023-01-28,28,1,January,1,2023,Saturday,4,True,False
29,2023-01-29,29,1,January,1,2023,Sunday,4,True,False
30,2023-01-30,30,1,January,1,2023,Monday,5,False,False
31,2023-01-31,31,1,January,1,2023,Tuesday,5,False,False
32,2023-02-01,1,2,February,1,2023,Wednesday,5,False,False
33,2023-02-02,2,2,February,1,2023,Thursday,5,False,False
34,2023-02-03,3,2,February,1,2023,Friday,5,False,False
35,2023-02-04,4,2,February,1,2023,Saturday,5,True,False
36,2023-02-05,5,2,February,1,2023,Sunday,5,True,False
37,2023-02-06,6,2,February,1,2023,Monday,6,False,False
38,2023-02-07,7,2,February,1,2023,Tuesday,6,False,False
39,2023-02-08,8,2,February,1,2023,Wednesday,6,False,False
40,2023-02-09,9,2,February,1,2023,Thursday,6,False,False
41,2023-02-10,10,2,February,1,2023,Friday,6,False,False
42,2023-02-11,11,2,February,1,2023,Saturday,6,True,False
43,2023-02-12,12,2,February,1,2023,Sunday,6,True,False
44,2023-02-13,13,2,February,1,2023,Monday,7,False,False
45,2023-02-14,14,2,February,1,2023,Tuesday,7,False,False
46,2023-02-15,15,2,February,1,2023,Wednesday,7,False,False
47,2023-02-16,16,2,February,1,2023,Thursday,7,False,False
48,2023-02-17,17,2,February,1,2023,Friday,7,False,False
49,2023-02-18,18,2,February,1,2023,Saturday,7,True,False
50,2023-02-19,19,2,February,1,2023,Sunday,7,True,False
51,2023-02-20,20,2,February,1,2023,Monday,8,False,False
52,2023-02-21,21,2,February,1,2023,Tuesday,8,False,False
53,2023-02-22,22,2,February,1,2023,Wednesday,8,False,False
54,2023-02-23,23,2,February,1,2023,Thursday,8,False,False
55,2023-02-24,24,2,February,1,2023,Friday,8,False,False
56,2023-02-25,25,2,February,1,2023,Saturday,8,True,False
57,2023-02-26,26,2,February,1,2023,Sunday,8,True,False
58,2023-02-27,27,2,February,1,2023,Monday,9,False,False
59,2023-02-28,28,2,February,1,2023,Tuesday,9,False,False
60,2023-03-01,1,3,March,1,2023,Wednesday,9,False,False
61,2023-03-02,2,3,March,1,2023,Thursday,9,False,False
62,2023-03-03,3,3,March,1,2023,Friday,9,False,False
63,2023-03-04,4,3,March,1,2023,Saturday,9,True,False
