user_key,user_id,age,gender,country,city,signup_date,acquisition_channel,user_segment,preferred_language,email_opt_in,lifetime_value_usd,age_group,signup_year,signup_month,high_value_customer
1,USR00001,56,Female,Germany,Berlin,2022-09-25,Referral,New User,English,True,424.27,56-65,2022,September,1
2,USR00002,46,Male,USA,Chicago,2021-05-15,Social Media,Casual Viewer,English,True,358.2,46-55,2021,May,0
3,USR00003,32,Male,Canada,Vancouver,2022-09-04,Email Campaign,Power User,Hindi,False,326.6,26-35,2022,September,0
4,USR00004,60,Female,UK,Birmingham,2022-01-21,Referral,Casual Viewer,English,True,452.12,56-65,2022,January,1
5,USR00005,25,Male,Germany,Hamburg,2021-06-07,Organic,At-Risk User,German,False,132.64,18-25,2021,June,0
6,USR00006,38,Female,Germany,Munich,2021-06-16,Email Campaign,Casual Viewer,Hindi,False,153.72,36-45,2021,June,0
7,USR00007,56,Male,Brazil,São Paulo,2021-07-05,Social Media,Power User,English,True,690.81,56-65,2021,July,1
8,USR00008,36,Male,USA,Los Angeles,2022-10-02,Referral,New User,Hindi,True,757.43,36-45,2022,October,1
9,USR00009,40,Male,Australia,Melbourne,2021-06-19,Social Media,At-Risk User,English,True,304.91,36-45,2021,June,0
10,USR00010,28,Male,USA,New York,2022-03-25,Email Campaign,Power User,English,True,223.89,26-35,2022,March,0
11,USR00011,28,Male,UK,London,2021-02-14,Referral,Casual Viewer,French,True,518.76,26-35,2021,February,1
12,USR00012,41,Male,India,Delhi,2022-02-25,Organic,At-Risk User,Spanish,True,332.9,36-45,2022,February,0
13,USR00013,53,Female,USA,New York,2022-01-09,Paid Ad,New User,English,True,30.06,46-55,2022,January,0
14,USR00014,57,Male,UK,Birmingham,2022-11-24,Paid Ad,Casual Viewer,English,True,133.36,56-65,2022,November,0
15,USR00015,41,Female,Germany,Berlin,2021-09-01,Organic,Power User,English,False,575.62,36-45,2021,September,1
16,USR00016,20,Female,India,Bangalore,2022-03-31,Organic,Casual Viewer,English,True,530.55,18-25,2022,March,1
17,USR00017,39,Male,UK,Birmingham,2022-09-18,Social Media,Power User,Spanish,False,31.41,36-45,2022,September,0
18,USR00018,19,Male,India,Bangalore,2021-10-19,Paid Ad,At-Risk User,English,True,185.36,18-25,2021,October,0
19,USR00019,41,Male,France,Paris,2022-04-05,Paid Ad,Casual Viewer,English,True,192.55,36-45,2022,April,0
