activity_key,user_key,date_key,content_key,device_key,subscription_key,minutes_watched,session_duration_mins,completion_rate,pause_count,buffering_events,stream_quality,subtitle_used,audio_language,login_count,added_to_watchlist,shared_content,content_rated,user_rating,search_performed,search_query_count,feedback_given,recommendation_shown,recommendation_clicked,recommendation_converted,recommendation_algorithm,recommendation_position,time_to_click_seconds,relevance_score,subscription_event_type,payment_amount_usd,payment_method,is_trial,cancellation_reason,auto_renewal_enabled,revenue_attributed_usd,notification_sent,notification_clicked,error_encountered,error_type,ab_test_group,platform_version,engagement_score,high_engagement,buffering_level,recommendation_success,watch_efficiency,revenue_segment
1,330,235,101,3,2,66.63,79.05,0.56,8,3,480p,False,English,6,False,False,False,0,True,4,"Thumbs Down",True,False,False,Trending,8,,0.416,,0,"Credit Card",False,,True,0.78,False,False,False,,Control,v4.0,45.052,1,Medium,0,0.8428842504743833,Medium
2,98,98,128,4,3,26.62,24.97,0.82,0,2,1080p,False,English,6,True,False,False,0,False,0,,True,False,False,"Collaborative Filtering",15,,0.719,,0,"Credit Card",False,,False,1.55,True,False,False,,Control,v3.1,36.448,0,Medium,0,1.066079295154185,High
3,144,276,155,4,1,23.35,26.16,0.35,2,2,720p,False,English,7,False,False,False,0,False,0,,True,False,False,Content-Based,18,,0.601,Upgrade,0,"Credit Card",False,,True,2.26,True,False,False,,Variant_B,v3.2,21.240000000000002,0,Medium,0,0.8925840978593272,Premium
4,368,203,196,1,3,119.69,120.5,0.98,8,3,1080p,True,Original,6,False,False,True,3.1,False,0,,True,True,False,"Collaborative Filtering",13,37.6,0.608,,0,"Credit Card",False,,False,0.71,False,False,False,,Variant_B,v3.3,78.47600000000001,1,Medium,0,0.9932780082987551,Low
5,435,132,105,2,2,52.49,60.76,0.66,4,4,4K,True,English,4,False,False,False,0,True,4,,True,True,False,Content-Based,16,78.7,0.549,Renewal,7.99,"Debit Card",False,,True,1.89,False,False,False,,Control,v3.2,41.996,1,High,0,0.8638907175773536,High
6,125,340,83,3,3,42.73,38.73,0.54,4,2,4K,True,French,4,False,False,False,0,False,0,"Thumbs Up",True,False,False,Content-Based,13,,0.481,,0,"Debit Card",False,,True,1.62,True,False,False,,Variant_B,v4.0,34.092,0,Medium,0,1.1032791117996386,High
7,167,47,7,4,2,10.81,10.33,0.85,1,1,720p,True,Original,3,False,False,False,0,False,0,,True,False,False,"Collaborative Filtering",4,,0.421,Cancellation,13.99,"Debit Card",False,Content,True,0.53,False,False,False,,Variant_A,v3.3,30.424000000000003,0,Low,0,1.0464666021297193,Low
8,86,74,135,3,2,292.72,353.6,0.63,6,2,720p,False,Original,2,False,False,False,0,False,0,,True,False,False,Content-Based,11,,0.993,Downgrade,13.99,"Debit Card",False,,True,1.86,True,False,False,,Control,v3.3,136.38800000000003,1,Medium,0,0.8278280542986426,High
9,76,40,34,1,2,71.97,90.98,0.4,1,4,480p,False,English,1,False,False,False,0,False,0,,True,False,False,"Collaborative Filtering",19,,0.796,,0,"Debit Card",False,,True,0.25,False,False,False,,Variant_A,v3.1,40.988,0,High,0,0.7910529786766322,Low
10,344,9,21,3,1,19.5,22.92,0.48,6,0,1080p,False,German,5,False,False,False,0,False,0,"Thumbs Up",True,True,True,Trending,8,78.9,0.866,,0,"Credit Card",False,,False,1.35,False,False,False,,Control,v3.3,23.2,0,Low,1,0.8507853403141361,High
11,495,283,62,1,1,145.32,139.64,0.6,3,2,1080p,True,Spanish,3,False,False,False,0,False,0,,True,False,False,Content-Based,10,,0.439,,0,"Credit Card",False,,True,0.39,False,False,False,,Variant_B,v3.2,76.728,1,Medium,0,1.0406760240618735,Low
12,424,352,57,1,3,26.54,25.35,0.86,6,3,480p,True,English,5,False,False,False,0,False,0,,True,True,False,"Collaborative Filtering",12,15.7,0.409,Signup,19.99,PayPal,False,,True,1.75,True,False,False,,Control,v3.3,37.416,0,Medium,0,1.0469428007889545,High
13,294,263,61,2,3,34.5,34.12,0.6,2,3,480p,False,English,9,False,False,False,0,False,0,,True,False,False,"Collaborative Filtering",20,,0.76,,0,"Credit Card",False,,False,0.83,False,False,False,,Control,v4.0,33.6,0,Medium,0,1.0111371629542791,Medium
14,444,201,82,2,2,23.05,24.86,0.57,4,3,720p,True,English,9,False,True,False,0,False,0,,True,False,False,Editorial,11,,0.834,,0,PayPal,False,,True,2.03,False,False,False,,Control,v4.0,28.12,0,Medium,0,0.9271922767497989,Premium
15,59,365,191,1,2,15.15,19.23,0.5,0,0,1080p,False,German,9,True,False,False,0,True,2,,True,True,False,Hybrid,20,88.0,0.637,Signup,0,"Debit Card",True,,True,1.27,False,False,False,,Control,v3.2,23.060000000000002,0,Low,0,0.7878315132605305,Medium
16,138,49,179,2,1,22.42,22.77,0.37,8,4,4K,False,German,1,True,False,False,0,True,2,,False,False,False,Trending,4,,0.633,,0,"Debit Card",False,,True,0.29,True,True,False,,Control,v3.3,20.468,0,High,0,0.984628897672376,Low
17,99,10,148,3,3,56.88,51.22,0.74,8,1,1080p,True,English,4,True,False,False,0,True,4,,True,True,True,Trending,19,37.1,0.631,,0,"Credit Card",False,,False,1.54,False,False,False,,Variant_B,v4.0,46.151999999999994,1,Low,1,1.110503709488481,High
18,192,36,28,3,2,40.46,51.97,0.39,5,4,4K,False,English,5,True,False,False,0,True,3,"Thumbs Down",True,True,False,"Collaborative Filtering",20,72.6,0.492,,0,"Debit Card",False,,True,0.13,True,True,True,"Playback Error",Control,v3.2,29.184,0,High,0,0.7785260727342698,Low
19,243,160,65,4,2,41.05,43.37,0.88,1,0,1080p,False,Original,5,True,False,False,0,False,0,"Thumbs Up",True,True,True,"Collaborative Filtering",10,116.3,0.852,,0,"Apple Pay",False,,True,0.81,False,False,False,,Variant_A,v3.2,43.81999999999999,1,Low,1,0.9465068019368227,Medium
20,319,39,22,1,2,274.03,250.32,0.51,6,3,480p,False,English,6,True,True,False,0,True,2,,False,False,False,Content-Based,15,,0.529,Upgrade,0,"Credit Card",False,,True,0.75,True,False,False,,Variant_B,v3.3,126.312,1,Medium,0,1.0947187599872163,Medium
21,49,160,155,4,3,69.99,72.7,0.65,3,4,720p,False,English,9,False,False,False,0,False,0,,True,True,True,"Collaborative Filtering",13,109.3,0.595,Renewal,13.99,"Credit Card",False,,False,2.45,False,False,False,,Variant_A,v3.3,49.29599999999999,1,High,1,0.9627235213204951,Premium
22,448,231,171,2,2,1.62,2.03,0.61,2,1,720p,False,Spanish,8,False,False,False,0,False,0,,True,True,False,"Collaborative Filtering",13,115.3,0.803,,0,"Credit Card",False,,False,0.69,False,False,False,,Variant_A,v3.3,20.548000000000002,0,Low,0,0.7980295566502464,Low
23,32,175,32,3,3,150.66,165.54,0.38,3,3,4K,False,Hindi,4,False,False,False,0,False,0,,True,True,True,"Collaborative Filtering",18,74.1,0.4,Renewal,7.99,PayPal,False,,True,1.72,False,False,False,,Variant_A,v3.2,72.464,1,Medium,1,0.9101123595505618,High
24,391,358,60,4,2,22.01,25.87,0.96,8,1,480p,False,English,5,False,False,True,2.4,True,3,,True,False,False,Hybrid,7,,0.86,,0,"Debit Card",False,,True,0.72,False,False,False,,Variant_B,v3.2,38.903999999999996,0,Low,0,0.8507924236567453,Medium
25,277,339,41,3,2,18.79,23.71,0.99,1,2,240p,True,English,2,False,False,False,0,True,3,,True,False,False,Content-Based,14,,0.939,Cancellation,13.99,"Debit Card",False,Content,True,0.29,True,False,False,,Variant_A,v4.0,37.916,0,Medium,0,0.7924926191480387,Low
26,20,195,28,2,3,69.48,75.53,0.97,3,1,720p,True,Hindi,5,False,False,False,0,True,1,,True,True,False,"Collaborative Filtering",5,107.1,0.431,Upgrade,7.99,"Credit Card",False,,True,0.25,True,False,False,,Variant_B,v3.2,57.992,1,Low,0,0.9198993777307031,Low
27,154,313,51,3,1,68,82.68,0.69,7,3,4K,True,French,6,False,False,False,0,True,5,,True,False,False,Content-Based,9,,0.755,,0,"Credit Card",False,,False,2.32,True,False,True,"Payment Error",Variant_B,v3.2,49.60000000000001,1,Medium,0,0.822447992259313,Premium
28,383,168,189,4,1,35.75,37.3,0.47,0,2,1080p,False,English,8,False,False,False,0,True,5,,True,False,False,Content-Based,17,,0.645,,0,"Debit Card",False,,True,0.33,False,False,False,,Control,v3.3,30.5,0,Medium,0,0.9584450402144773,Low
29,68,176,171,3,2,34.85,44.9,0.99,5,3,720p,False,Spanish,1,True,False,False,0,False,0,,True,False,False,Trending,5,,0.447,Cancellation,0,PayPal,False,Technical,True,2.1,True,False,False,,Control,v3.3,43.84,1,Medium,0,0.7761692650334077,Premium
30,366,330,98,2,3,177.62,189.1,0.76,7,3,1080p,False,English,4,False,False,False,0,False,0,,True,False,False,Content-Based,16,,0.809,Renewal,0,"Gift Card",False,,True,1.4,True,True,False,,Control,v3.3,94.648,1,Medium,0,0.9392913802221048,High
31,372,362,17,1,1,196.01,188.94,0.62,4,2,720p,True,French,3,False,False,False,0,False,0,,True,False,False,Content-Based,9,,0.767,Signup,7.99,PayPal,False,,True,1.14,False,False,False,,Control,v3.3,97.60399999999998,1,Medium,0,1.0374192865459935,Medium
32,214,36,175,3,2,55.77,70.95,0.92,1,1,4K,False,Spanish,9,False,False,False,0,False,0,,True,False,False,Trending,17,,0.786,Renewal,19.99,"Credit Card",False,,True,2.49,True,True,False,,Variant_B,v3.3,51.708,1,Low,0,0.786046511627907,Premium
33,143,83,82,1,3,22.8,23.66,0.92,0,0,1080p,False,English,8,False,False,False,0,False,0,,True,False,False,Content-Based,18,,0.888,,0,"Apple Pay",False,,False,2.24,True,False,False,,Control,v3.3,38.32,0,Low,0,0.9636517328825022,Premium
34,376,8,112,4,3,30.76,33.28,0.62,3,0,720p,True,English,1,False,False,False,0,True,5,,True,False,False,"Collaborative Filtering",3,,0.572,Signup,13.99,"Credit Card",False,,True,0.67,False,False,False,,Control,v4.0,31.604,0,Low,0,0.9242788461538461,Low
35,232,204,185,1,1,52.72,47.63,0.34,7,0,480p,False,French,3,False,False,False,0,False,0,,True,False,False,Trending,5,,0.806,Signup,0,"Apple Pay",False,,True,1.54,False,False,False,,Control,v3.3,31.888,0,Low,0,1.1068654209531807,High
36,213,354,125,4,1,203.68,190.42,0.71,6,0,1080p,False,English,2,False,False,False,0,False,0,,True,True,False,"Collaborative Filtering",17,46.1,0.846,,0,PayPal,False,,True,0.48,False,False,False,,Control,v3.2,103.17200000000001,1,Low,0,1.0696355424850332,Low
37,79,73,73,3,3,79.54,91.3,0.34,2,4,1080p,True,Original,9,True,False,True,3.2,True,3,,True,False,False,Editorial,20,,0.501,,0,"Gift Card",False,,True,1.53,True,False,False,,Variant_B,v3.3,44.116,1,High,0,0.8711938663745894,High
38,214,36,188,4,2,27.03,35.06,0.7,2,0,480p,True,French,8,False,False,False,0,False,0,"Thumbs Up",False,False,False,"Collaborative Filtering",4,,0.974,Cancellation,7.99,"Apple Pay",False,Technical,False,0.4,True,False,False,,Control,v3.3,33.412,0,Low,0,0.7709640616086708,Low
39,116,113,89,3,1,187.47,210.72,0.88,6,2,720p,False,English,1,True,False,False,0,False,0,,True,False,False,Content-Based,4,,0.604,Renewal,0,"Credit Card",False,,True,1.61,True,False,False,,Control,v4.0,101.58800000000001,1,Medium,0,0.8896640091116174,High
40,92,260,53,3,1,48.7,46.55,0.94,5,0,240p,False,English,4,True,True,False,0,True,4,"Thumbs Down",True,True,False,"Collaborative Filtering",7,52.6,0.828,,0,"Credit Card",False,,True,2.43,False,False,False,,Variant_A,v4.0,48.88,1,Low,0,1.0461868958109561,Premium
41,270,161,135,4,2,256.66,302.98,0.54,4,3,240p,False,Hindi,7,False,False,False,0,False,0,"Thumbs Down",True,True,False,"Collaborative Filtering",8,115.3,0.852,,0,"Credit Card",False,,False,1.5,False,False,False,,Variant_B,v3.1,120.26400000000002,1,Medium,0,0.8471186216912008,High
