user_key,age,gender,country,user_segment,lifetime_value_usd,plan_name,monthly_price,genre,content_type,device_type,operating_system,activity_date,month_name,year,minutes_watched,session_duration_mins,completion_rate,login_count,pause_count,buffering_events,stream_quality,engagement_score,watch_efficiency,revenue_attributed_usd,subscription_event_type,cancellation_reason,churn_flag
1,56,Female,Germany,"New User",424.27,Basic,7.99,Sci-Fi,Movie,Tablet,iPadOS/Android,2023-08-23,August,2023,13.87,13.18,0.53,3,4,3,480p,22.048000000000002,1.052352048558422,1.13,Downgrade,,0
1,56,Female,Germany,"New User",424.27,Standard,13.99,Drama,Series,Mobile,iOS/Android,2023-08-14,August,2023,23.95,31.13,0.9,5,5,1,1080p,37.58,0.7693543205910697,1.9,Renewal,,0
1,56,Female,Germany,"New User",424.27,Premium,19.99,Romance,Series,Desktop,Windows/macOS,2023-06-22,June,2023,31.19,38.4,0.67,1,5,2,720p,32.776,0.8122395833333333,1.49,,,0
2,46,Male,USA,"Casual Viewer",358.2,Basic,7.99,Romance,Series,"Smart TV",Tizen/WebOS,2023-04-09,April,2023,57.36,61.78,0.87,2,4,2,4K,49.443999999999996,0.9284558109420524,0.57,,,0
3,32,Male,Canada,"Power User",326.6,Standard,13.99,Action,Movie,Mobile,iOS/Android,2023-11-04,November,2023,120.33,129.61,0.36,1,7,2,1080p,59.132000000000005,0.9284005863745081,2.11,,,0
3,32,Male,Canada,"Power User",326.6,Standard,13.99,Romance,Movie,Tablet,iPadOS/Android,2023-05-18,May,2023,98.7,99.82,0.81,7,6,3,4K,65.18,0.9887798036465639,0.81,,,0
4,60,Female,UK,"Casual Viewer",452.12,Premium,19.99,Animation,Documentary,"Smart TV",Tizen/WebOS,2023-09-06,September,2023,61.74,57.55,0.87,6,1,4,480p,51.996,1.0728062554300608,2.18,,,0
4,60,Female,UK,"Casual Viewer",452.12,Premium,19.99,Thriller,Series,"Smart TV",Tizen/WebOS,2023-06-11,June,2023,63.61,70.65,0.33,2,3,2,4K,35.744,0.9003538570417551,2.17,Cancellation,"Found Alternative",1
5,25,Male,Germany,"At-Risk User",132.64,Basic,7.99,Comedy,Movie,"Smart TV",Tizen/WebOS,2023-10-16,October,2023,19.8,22.89,0.52,1,3,0,480p,24.22,0.8650065530799476,0.74,,,0
5,25,Male,Germany,"At-Risk User",132.64,Basic,7.99,Animation,Movie,"Smart TV",Tizen/WebOS,2023-07-16,July,2023,24.26,27.52,0.8,4,1,4,720p,34.903999999999996,0.8815406976744187,1.27,,,0
